בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Breeders' Puppies Born in Iran	yes
אם כבר צופים במשחק שבו 6 שחקנים אמריקאים ו- 3 ישראלים לקישוט, לא עדיף לצפות במשחק של גולדן סטייט????	If you're watching a game where 6 American players and 3 Israeli players are decorating, wouldn't you rather watch the Golden State game????	yes
פאזל עד שיתחבר תגמר הליגה	Puzzle until the league finals are connected	yes
שיהיה בהצלחה	Good luck to you.	no
טור טוב.	Good one.	yes
אהבתי.	I did.	yes
לגבי הישראלים, הוא צודק לגמרי!!	As for the Israelis, he is absolutely right!!	yes
והערה לגבי זיו - ראינו בעונה שעברה שמדובר בשחקן טוב שיכול גם להנהיג קבוצה.	And the comment about Ziva -- we saw last season that he's a good player who can also lead a team.	yes
אז ביורוליג הוא לא יכול להיות מנהיג, אבל הירידה ביכולת שלו גם בליגה מצביעה על כך שהוא איבד את הביטחון (וזה לא פלא אחרי היחס שקיבל אחרי 2 משחקים לא טובים ביורוליג, כאילו שלזרים לא היו משחקים כאלה) והשימוש בו אולי גם לא נכון, והוא תוצאה של הקיבעונות והשבלונות של המאמן.	So in Euroleague he can't be a leader, but his decline in ability also in the league indicates that he has lost confidence (which is not surprising after the treatment he received after 2 bad games in Euroleague, as if foreigners did not have such games) and its use may also be wrong, and it is the result of the coach's persistence and patience.	yes
בלייזר לא קלעי עם כל הכבוד…	A non-bullet laser with all due respect...	yes
יפתח זיו לא צריך להיות במכבי תל אביב הוא מחרב אותה מידי	Ya'abul Ziyo shouldn't be in the Tel Aviv police. He's taking her out of my hands.	yes
פעם יש לא משחק טוב אבל סורקין ובלייזר דודי וגם כהן היום כל הכבוד.	Once there was no good game but Sorkin and Blazer Uncle and also Cohen today all respect.	yes
עידו אשד בטלן אוהד חולון שנתנו לו 500 שח אז הוא כותב שטויות.	He's a lazy, loyal, loyalist who's been given 500 shekels so he writes nonsense.	yes
בתמונה לא פדרמן.	That's not Pederman.	yes
בלייזר,סורקין וגק כהן הרבה יותר טובים מקוליארו וטיילור שבאירופה משחקים כעשרים דקות ולא מסוגלים לקלוע סל, מי צריך זרים ברמת כלום ושום דבר,הרבה יותר עדיף שישחקו הישראלים.	Blazer, Sorkin and Jake Cohen are much better than Colliaro and Taylor who in Europe play for 20 minutes and can't score a basket, who needs foreigners at the level of nothing and nothing, much better that the Israelis play.	no
טוב שיש רוח טובה לכולם מאמן שחקנים והנהלה במשכת הממונטום	Good to have a good spirit for everyone. Coach, players and management at the Momentum Workshop.	yes
תלוי בהגברת הגיבוד הפנימי...	Depends on the increase in internal combustion...	yes
וחיזוק משמעתי ונדרש של רכז וגארד	And the required disciplinary reinforcement of the center and guard	yes
וזה החלק של ההנהלה.	And that's the management part.	yes
לא נכון.	- No, you didn't.	yes
האינטראקציה האנושית הבלתי אמצעית חשובה מהרבה מאוד היבטים.	Human interaction is important in so many ways.	yes
התשובה למחקר הזה היא שבידוד חברתי הוא דבר רע גם מההיבט המקצועי והאמת, מה שמפתיע ומאכזב כאן הוא ההפתעה.	The answer to this study is that social isolation is bad both professionally and truthfully, and what's surprising and disappointing here is the surprise.	yes
אז תכבו את המצלמה בזום ונפתרה הבעיה.	So turn off the zoom and the problem is solved.	yes
מה קרה, החוקרים השתמשו בזום ולכן היצירתיות שלהם לא הספיקה לפתרון הזה?	What happened, the researchers used zoom and therefore their creativity was not enough for this solution?	yes
איך יודעים מה יהיה עוד 30 שנה	How do you know what's gonna happen in 30 years?	yes
מישהו פה פספס פרט חשוב	Someone here missed an important detail.	yes
את המדענים לא מעניין התחממות ולא מי גשמים	Scientists don't care about warming or rain.	yes
אותם מעניין רק קצב גידול האוכלוסיה	They're only interested in the rate of population growth.	yes
הם עובדים על עוד ועוד חיסונים ושיטות ממזריות להשמיד את אוכלוסיית העולם אז הם מספרים לנו סיפורי פוגי על התחממות ועוד שטויות שהם ממציאים	They're working on more and more vaccines and more and more ways of killing off the world's population, so they tell us fake stories about global warming and other bullshit they make up.	yes
אין שום בעייה להתפיל מים, בכמויות ללא הגבלה	There's no problem with pouring water, in unlimited quantities	yes
אמרו את זה לפני 50 שנה.	They said that 50 years ago.	yes
בינתיים יש יותר אנשים.	Meanwhile, there are more people.	yes
הפתרון הוא הגבלת ילודה, בעיקר במקומות עניים ובמקרה של הבבונים של ביבי, שאר השמאלנים אנטי המדינות שלהם, ובכל הדתות שמאמינות באלים - אצל הטפשים, הבורים, הכסילים, העיוורים, או בקיצור - אצל העדרים	The solution is birth control, especially in poor places and in the case of Bibi's baboons, the other anti-state leftists, and in all religions that believe in gods -- the stupid, the ignorant, the lazy, the blind, or in short -- the herd.	yes
יש צורך דחוף להפחית את אוכלוסיית העולם.	There is an urgent need to reduce the world's population.	yes
יצורים חיים (גם ססמולנים) צורכים חמצן ופולטים פחמן דו"ח.	Living things (also called sesmolin) consume oxygen and emit carbon dioxide.	no
הפתרון: ססמולנים, תתאבדו!	The solution: Smolans, kill yourselves!	no
זה ירוק.	It's green.	no
טוב לעולם.	Good for the world.	no
יהי לכם טוב יותר, ובטוח שכדור הארץ ולכולנו.	May you be better, and may the Earth and all of us be safe.	no
מי הם המדענים ואיך ביצעו את המחקר	Who are the scientists and how did they do the research?	no
אני לא מאמין לכל מחקר שמדבר על התחממות האקלים כי הדבר הזה לא קיים	I don't believe any research that talks about global warming because that thing doesn't exist.	no
הוא מגמתי כדי לשלוט בנו לגזול את חרותנו והחופש שלנו.	He's bent on controlling us, taking away our freedoms and our freedom.	no
הכל חלק מהסדר העולמי החדש.	It's all part of the new world order.	no
וכתבים כמו אסף גולן נמצאים בצד שלהם כמו שעשה בזמן הקורונה.	And journalists like Assaf Golan are on their side as they did during Corona.	no
מעולם לא שמעתי ממנו הצגה של עובדות משני הצדדים תמיד הוא מביא את הצד שמשרת את הגלובליסטים.	I've never heard him present facts from either side. He always brings up the side that serves the globalists.	no
מבנטטים אותנו.	We are haunted.	no
סתם שורפים כסף על "מחקרי" חרטוט "אקדמיים.	Just burning money on academic research.	no
כרגיל, עוד חירטוט מארץ החירטוטים של הססמולנים הפסיכופאטיים.	As usual, another snippet from the psychopathic Sesmolin snippet land.	no
